% time	cellId	IMSI	RNTI	frame	sframe	scPrdStartFr	scPrdStartSf	resPscch	sizeTb	pscchRbLen	pscchStartRb	hopping	hoppingInfo	psschRbLen	psschStartRb	iTrp	mcs	l1GroupDstId	dropped
3036	0	3	2	305	1	305	1	0	6	1	0	0	255	30	0	0	16	255	0
3037	0	3	2	305	2	305	1	0	6	1	78	0	255	30	0	0	16	255	1
3037	0	5	3	305	2	305	1	1	6	1	0	0	255	30	30	0	16	255	1
3038	0	4	6	305	3	305	1	2	6	1	0	0	255	30	60	0	16	255	0
3038	0	5	3	305	3	305	1	1	6	1	78	0	255	30	30	0	16	255	0
3039	0	1	8	305	4	305	1	3	6	1	0	0	255	30	90	0	16	255	1
3039	0	4	6	305	4	305	1	2	6	1	78	0	255	30	60	0	16	255	1
3040	0	1	8	305	5	305	1	3	6	1	78	0	255	30	90	0	16	255	0
3040	0	2	10	305	5	305	1	4	6	1	0	0	255	30	120	0	16	255	0
3041	0	2	10	305	6	305	1	4	6	1	78	0	255	30	120	0	16	255	1
