% time	cellId	IMSI	RNTI	resPscch	sizeTb	hopping	hoppingInfo	psschRbLen	psschStartRb	iTrp	mcs	l1GroupDstId	correct
3040	0	2	1	0	6	0	255	5	0	0	16	255	1
3080	0	2	1	0	6	0	255	5	0	0	16	255	1
3120	0	2	1	0	6	0	255	5	0	0	16	255	1
3160	0	2	1	0	6	0	255	5	0	0	16	255	1
3240	0	2	1	0	6	0	255	5	0	0	16	255	1
3280	0	2	1	0	6	0	255	5	0	0	16	255	1
3320	0	2	1	0	6	0	255	5	0	0	16	255	1
3360	0	2	1	0	6	0	255	5	0	0	16	255	1
3440	0	2	1	0	6	0	255	5	0	0	16	255	1
3480	0	2	1	0	6	0	255	5	0	0	16	255	1
3520	0	2	1	0	6	0	255	5	0	0	16	255	1
3560	0	2	1	0	6	0	255	5	0	0	16	255	1
3640	0	2	1	0	6	0	255	5	0	0	16	255	1
3680	0	2	1	0	6	0	255	5	0	0	16	255	1
3720	0	2	1	0	6	0	255	5	0	0	16	255	1
3760	0	2	1	0	6	0	255	5	0	0	16	255	1
3840	0	2	1	0	6	0	255	5	0	0	16	255	1
3880	0	2	1	0	6	0	255	5	0	0	16	255	1
3920	0	2	1	0	6	0	255	5	0	0	16	255	1
3960	0	2	1	0	6	0	255	5	0	0	16	255	1
4040	0	2	1	0	6	0	255	5	0	0	16	255	1
4080	0	2	1	0	6	0	255	5	0	0	16	255	1
4120	0	2	1	0	6	0	255	5	0	0	16	255	1
4160	0	2	1	0	6	0	255	5	0	0	16	255	1
4240	0	2	1	0	6	0	255	5	0	0	16	255	1
4280	0	2	1	0	6	0	255	5	0	0	16	255	1
4320	0	2	1	0	6	0	255	5	0	0	16	255	1
4360	0	2	1	0	6	0	255	5	0	0	16	255	1
4440	0	2	1	0	6	0	255	5	0	0	16	255	1
4480	0	2	1	0	6	0	255	5	0	0	16	255	1
4520	0	2	1	0	6	0	255	5	0	0	16	255	1
4560	0	2	1	0	6	0	255	5	0	0	16	255	1
4640	0	2	1	0	6	0	255	5	0	0	16	255	1
4680	0	2	1	0	6	0	255	5	0	0	16	255	1
4720	0	2	1	0	6	0	255	5	0	0	16	255	1
4760	0	2	1	0	6	0	255	5	0	0	16	255	1
4840	0	2	1	0	6	0	255	5	0	0	16	255	1
4880	0	2	1	0	6	0	255	5	0	0	16	255	1
4920	0	2	1	0	6	0	255	5	0	0	16	255	1
4960	0	2	1	0	6	0	255	5	0	0	16	255	1
