% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	avrgSinrPerRb
3048	0	6	2	0	16	133	0	1	1	1266.5
3048	0	6	3	0	16	133	0	1	1	51752
3048	0	6	6	0	16	133	0	1	1	4980.76
3048	0	6	8	0	16	133	0	1	1	225.623
3048	0	6	10	0	16	133	0	1	1	479.364
3048	0	7	2	0	16	133	0	1	1	479.364
3048	0	7	3	0	16	133	0	1	1	4980.76
3048	0	7	6	0	16	133	0	1	1	1266.5
3048	0	7	8	0	16	133	0	1	1	121.892
3048	0	7	10	0	16	133	0	1	1	225.623
3048	0	8	2	0	16	133	0	1	1	225.623
3048	0	8	3	0	16	133	0	1	1	1266.5
3048	0	8	6	0	16	133	0	1	1	479.364
3048	0	8	8	0	16	133	0	1	1	72.4241
3048	0	8	10	0	16	133	0	1	1	121.892
3048	0	9	2	0	16	133	0	1	1	121.892
3048	0	9	3	0	16	133	0	1	1	479.364
3048	0	9	6	0	16	133	0	1	1	225.623
3048	0	9	8	0	16	133	0	1	1	46.1354
3048	0	9	10	0	16	133	0	1	1	72.4241
3048	0	10	2	0	16	133	0	1	1	72.4241
3048	0	10	3	0	16	133	0	1	1	225.623
3048	0	10	6	0	16	133	0	1	1	121.892
3048	0	10	8	0	16	133	0	1	1	30.9944
3048	0	10	10	0	16	133	0	1	1	46.1354
3056	0	6	2	0	16	133	1	0	1	1266.5
3056	0	6	3	0	16	133	1	0	1	51752
3056	0	6	6	0	16	133	1	0	1	4980.76
3056	0	6	8	0	16	133	1	0	1	225.623
3056	0	6	10	0	16	133	1	0	1	479.364
3056	0	7	2	0	16	133	1	0	1	479.364
3056	0	7	3	0	16	133	1	0	1	4980.76
3056	0	7	6	0	16	133	1	0	1	1266.5
3056	0	7	8	0	16	133	1	0	1	121.892
3056	0	7	10	0	16	133	1	0	1	225.623
3056	0	8	2	0	16	133	1	0	1	225.623
3056	0	8	3	0	16	133	1	0	1	1266.5
3056	0	8	6	0	16	133	1	0	1	479.364
3056	0	8	8	0	16	133	1	0	1	72.4241
3056	0	8	10	0	16	133	1	0	1	121.892
3056	0	9	2	0	16	133	1	0	1	121.892
3056	0	9	3	0	16	133	1	0	1	479.364
3056	0	9	6	0	16	133	1	0	1	225.623
3056	0	9	8	0	16	133	1	0	1	46.1354
3056	0	9	10	0	16	133	1	0	1	72.4241
3056	0	10	2	0	16	133	1	0	1	72.4241
3056	0	10	3	0	16	133	1	0	1	225.623
3056	0	10	6	0	16	133	1	0	1	121.892
3056	0	10	8	0	16	133	1	0	1	30.9944
3056	0	10	10	0	16	133	1	0	1	46.1354
3064	0	6	2	0	16	133	2	0	1	1266.5
3064	0	6	3	0	16	133	2	0	1	51752
3064	0	6	6	0	16	133	2	0	1	4980.76
3064	0	6	8	0	16	133	2	0	1	225.623
3064	0	6	10	0	16	133	2	0	1	479.364
3064	0	7	2	0	16	133	2	0	1	479.364
3064	0	7	3	0	16	133	2	0	1	4980.76
3064	0	7	6	0	16	133	2	0	1	1266.5
3064	0	7	8	0	16	133	2	0	1	121.892
3064	0	7	10	0	16	133	2	0	1	225.623
3064	0	8	2	0	16	133	2	0	1	225.623
3064	0	8	3	0	16	133	2	0	1	1266.5
3064	0	8	6	0	16	133	2	0	1	479.364
3064	0	8	8	0	16	133	2	0	1	72.4241
3064	0	8	10	0	16	133	2	0	1	121.892
3064	0	9	2	0	16	133	2	0	1	121.892
3064	0	9	3	0	16	133	2	0	1	479.364
3064	0	9	6	0	16	133	2	0	1	225.623
3064	0	9	8	0	16	133	2	0	1	46.1354
3064	0	9	10	0	16	133	2	0	1	72.4241
3064	0	10	2	0	16	133	2	0	1	72.4241
3064	0	10	3	0	16	133	2	0	1	225.623
3064	0	10	6	0	16	133	2	0	1	121.892
3064	0	10	8	0	16	133	2	0	1	30.9944
3064	0	10	10	0	16	133	2	0	1	46.1354
3072	0	6	2	0	16	133	3	0	1	1266.5
3072	0	6	3	0	16	133	3	0	1	51752
3072	0	6	6	0	16	133	3	0	1	4980.76
3072	0	6	8	0	16	133	3	0	1	225.623
3072	0	6	10	0	16	133	3	0	1	479.364
3072	0	7	2	0	16	133	3	0	1	479.364
3072	0	7	3	0	16	133	3	0	1	4980.76
3072	0	7	6	0	16	133	3	0	1	1266.5
3072	0	7	8	0	16	133	3	0	1	121.892
3072	0	7	10	0	16	133	3	0	1	225.623
3072	0	8	2	0	16	133	3	0	1	225.623
3072	0	8	3	0	16	133	3	0	1	1266.5
3072	0	8	6	0	16	133	3	0	1	479.364
3072	0	8	8	0	16	133	3	0	1	72.4241
3072	0	8	10	0	16	133	3	0	1	121.892
3072	0	9	2	0	16	133	3	0	1	121.892
3072	0	9	3	0	16	133	3	0	1	479.364
3072	0	9	6	0	16	133	3	0	1	225.623
3072	0	9	8	0	16	133	3	0	1	46.1354
3072	0	9	10	0	16	133	3	0	1	72.4241
3072	0	10	2	0	16	133	3	0	1	72.4241
3072	0	10	3	0	16	133	3	0	1	225.623
3072	0	10	6	0	16	133	3	0	1	121.892
3072	0	10	8	0	16	133	3	0	1	30.9944
3072	0	10	10	0	16	133	3	0	1	46.1354
3128	0	6	2	0	16	133	0	1	1	1266.5
3128	0	6	3	0	16	133	0	1	1	51752
3128	0	6	6	0	16	133	0	1	1	4980.76
3128	0	6	8	0	16	133	0	1	1	225.623
3128	0	6	10	0	16	133	0	1	1	479.364
3128	0	7	2	0	16	133	0	1	1	479.364
3128	0	7	3	0	16	133	0	1	1	4980.76
3128	0	7	6	0	16	133	0	1	1	1266.5
3128	0	7	8	0	16	133	0	1	1	121.892
3128	0	7	10	0	16	133	0	1	1	225.623
3128	0	8	2	0	16	133	0	1	1	225.623
3128	0	8	3	0	16	133	0	1	1	1266.5
3128	0	8	6	0	16	133	0	1	1	479.364
3128	0	8	8	0	16	133	0	1	1	72.4241
3128	0	8	10	0	16	133	0	1	1	121.892
3128	0	9	2	0	16	133	0	1	1	121.892
3128	0	9	3	0	16	133	0	1	1	479.364
3128	0	9	6	0	16	133	0	1	1	225.623
3128	0	9	8	0	16	133	0	1	1	46.1354
3128	0	9	10	0	16	133	0	1	1	72.4241
3128	0	10	2	0	16	133	0	1	1	72.4241
