% time	cellId	IMSI	RNTI	currFr	currSf	scPrdStartFr	scPrdStartSf	psschRbLen	psschStartRb	mcs	sizeTb	rv	dropped
3044	0	1	8	305	9	305	1	10	30	16	389	0	0
3044	0	2	10	305	9	305	1	10	40	16	389	0	0
3044	0	3	2	305	9	305	1	10	0	16	389	0	0
3044	0	4	6	305	9	305	1	10	20	16	389	0	0
3044	0	5	3	305	9	305	1	10	10	16	389	0	0
3052	0	1	8	306	7	305	1	10	30	16	389	1	0
3052	0	2	10	306	7	305	1	10	40	16	389	1	0
3052	0	3	2	306	7	305	1	10	0	16	389	1	0
3052	0	4	6	306	7	305	1	10	20	16	389	1	0
3052	0	5	3	306	7	305	1	10	10	16	389	1	0
3060	0	1	8	307	5	305	1	10	30	16	389	2	0
3060	0	2	10	307	5	305	1	10	40	16	389	2	0
3060	0	3	2	307	5	305	1	10	0	16	389	2	0
3060	0	4	6	307	5	305	1	10	20	16	389	2	0
3060	0	5	3	307	5	305	1	10	10	16	389	2	0
3068	0	1	8	308	3	305	1	10	30	16	389	3	0
3068	0	2	10	308	3	305	1	10	40	16	389	3	0
3068	0	3	2	308	3	305	1	10	0	16	389	3	0
3068	0	4	6	308	3	305	1	10	20	16	389	3	0
3068	0	5	3	308	3	305	1	10	10	16	389	3	0
3124	0	1	8	313	9	313	1	10	30	16	389	0	0
3124	0	2	10	313	9	313	1	10	40	16	389	0	0
3124	0	3	2	313	9	313	1	10	0	16	389	0	0
3124	0	4	6	313	9	313	1	10	20	16	389	0	0
3124	0	5	3	313	9	313	1	10	10	16	389	0	0
3132	0	1	8	314	7	313	1	10	30	16	389	1	0
3132	0	2	10	314	7	313	1	10	40	16	389	1	0
3132	0	3	2	314	7	313	1	10	0	16	389	1	0
3132	0	4	6	314	7	313	1	10	20	16	389	1	0
3132	0	5	3	314	7	313	1	10	10	16	389	1	0
3140	0	1	8	315	5	313	1	10	30	16	389	2	0
3140	0	2	10	315	5	313	1	10	40	16	389	2	0
3140	0	3	2	315	5	313	1	10	0	16	389	2	0
3140	0	4	6	315	5	313	1	10	20	16	389	2	0
3140	0	5	3	315	5	313	1	10	10	16	389	2	0
3148	0	1	8	316	3	313	1	10	30	16	389	3	0
3148	0	2	10	316	3	313	1	10	40	16	389	3	0
3148	0	3	2	316	3	313	1	10	0	16	389	3	0
3148	0	4	6	316	3	313	1	10	20	16	389	3	0
3148	0	5	3	316	3	313	1	10	10	16	389	3	0
3244	0	1	8	325	9	325	1	10	30	16	389	0	0
3244	0	2	10	325	9	325	1	10	40	16	389	0	0
3244	0	3	2	325	9	325	1	10	0	16	389	0	0
3244	0	4	6	325	9	325	1	10	20	16	389	0	0
3244	0	5	3	325	9	325	1	10	10	16	389	0	0
3252	0	1	8	326	7	325	1	10	30	16	389	1	0
3252	0	2	10	326	7	325	1	10	40	16	389	1	0
3252	0	3	2	326	7	325	1	10	0	16	389	1	0
3252	0	4	6	326	7	325	1	10	20	16	389	1	0
3252	0	5	3	326	7	325	1	10	10	16	389	1	0
3260	0	1	8	327	5	325	1	10	30	16	389	2	0
3260	0	2	10	327	5	325	1	10	40	16	389	2	0
3260	0	3	2	327	5	325	1	10	0	16	389	2	0
3260	0	4	6	327	5	325	1	10	20	16	389	2	0
3260	0	5	3	327	5	325	1	10	10	16	389	2	0
3268	0	1	8	328	3	325	1	10	30	16	389	3	0
3268	0	2	10	328	3	325	1	10	40	16	389	3	0
3268	0	3	2	328	3	325	1	10	0	16	389	3	0
3268	0	4	6	328	3	325	1	10	20	16	389	3	0
3268	0	5	3	328	3	325	1	10	10	16	389	3	0
3324	0	1	8	333	9	333	1	10	30	16	389	0	0
3324	0	2	10	333	9	333	1	10	40	16	389	0	0
3324	0	3	2	333	9	333	1	10	0	16	389	0	0
3324	0	4	6	333	9	333	1	10	20	16	389	0	0
3324	0	5	3	333	9	333	1	10	10	16	389	0	0
3332	0	1	8	334	7	333	1	10	30	16	389	1	0
3332	0	2	10	334	7	333	1	10	40	16	389	1	0
3332	0	3	2	334	7	333	1	10	0	16	389	1	0
3332	0	4	6	334	7	333	1	10	20	16	389	1	0
3332	0	5	3	334	7	333	1	10	10	16	389	1	0
3340	0	1	8	335	5	333	1	10	30	16	389	2	0
3340	0	2	10	335	5	333	1	10	40	16	389	2	0
3340	0	3	2	335	5	333	1	10	0	16	389	2	0
3340	0	4	6	335	5	333	1	10	20	16	389	2	0
3340	0	5	3	335	5	333	1	10	10	16	389	2	0
3348	0	1	8	336	3	333	1	10	30	16	389	3	0
3348	0	2	10	336	3	333	1	10	40	16	389	3	0
3348	0	3	2	336	3	333	1	10	0	16	389	3	0
3348	0	4	6	336	3	333	1	10	20	16	389	3	0
3348	0	5	3	336	3	333	1	10	10	16	389	3	0
3444	0	1	8	345	9	345	1	10	30	16	389	0	0
3444	0	2	10	345	9	345	1	10	40	16	389	0	0
3444	0	3	2	345	9	345	1	10	0	16	389	0	0
3444	0	4	6	345	9	345	1	10	20	16	389	0	0
3444	0	5	3	345	9	345	1	10	10	16	389	0	0
3452	0	1	8	346	7	345	1	10	30	16	389	1	0
3452	0	2	10	346	7	345	1	10	40	16	389	1	0
